RB2PBM4KCore.dll fileVersion,2.0.4.0
USE RGB MEASURE LEVEL,FULL DATA
RED
3936,0,0

GREEN
0,3936,0

BLUE
0,0,3936

WHITE
3936,3936,3936
0,0,0
32,32,32
64,60,64
96,92,96
128,124,128
160,156,160
192,184,192
384,372,380
576,556,572
768,744,760
960,928,952
1280,1240,1268
1664,1612,1652
2176,2108,2160
2688,2620,2672
3200,3148,3188
3712,3688,3704


COOL
LEVEL,R,G,B,x(calc),y(calc),Y(calc),x(target),y(target),Y(target),STATUS
0,0,0,0,0.270117722947912,0.256410256410256,0.159,0,0,0.159,
1,26,28,28,0.270449006810326,0.25847704146774,0.170188664088061,0,0,0.170482306279845,
2,57,60,61,0.270777361279358,0.262830884016555,0.212261836871739,0,0,0.211758825340921,
3,87,92,93,0.270267101073575,0.266026792674927,0.288002920676917,0,0,0.287734777718501,
4,120,127,128,0.2689381364732,0.265858780478779,0.401623059973288,0,0,0.401415903522766,
5,156,165,167,0.267890801296247,0.266676165122338,0.553654635501001,0,0,0.555061963907117,
6,194,205,207,0.266031992919396,0.258284046841525,0.749408330949251,0,0,0.750509709584606,
7,231,245,247,0.266654666534981,0.25948765625446,0.988778196935258,0,0,0.989318692609196,
8,268,283,286,0.268418697482268,0.264264772843229,1.26998774228811,0,0,1.27285099840689,
9,302,320,323,0.269872270008361,0.270548748399662,1.59790415990039,0,0,1.60232006047617,
10,336,356,359,0.27157625472672,0.276513490194571,1.9837708438288,0,0,1.978822905668,
11,368,389,393,0.272941858682337,0.280710422015489,2.40611172692763,0,0,2.40336265899593,
12,398,421,425,0.274094473276281,0.284492436236691,2.87675466932763,0.273988256875064,0.284208559477867,2.87686492145844,OK
13,432,453,464,0.274417673430887,0.283969833337636,3.44057553702926,0.274054071680998,0.284081827638429,3.44525233996521,OK
14,463,486,502,0.273995766450539,0.284174632764884,4.07775159296004,0.274119849396264,0.283955167220134,4.07234567365392,OK
15,495,517,539,0.274132942101498,0.283650947413378,4.75995446793549,0.274185590052205,0.283828578162626,4.75963280626261,OK
16,527,549,574,0.274748970391779,0.284525937942746,5.52340613198107,0.274251293680133,0.283702060405612,5.50856976372514,OK
17,557,579,610,0.274382341492176,0.283752160981334,6.31398049120577,0.274316960311322,0.283575613888872,6.32058511534194,OK
18,588,610,646,0.274208244272744,0.2833693008013,7.19574247342145,0.274382589977012,0.28344923855225,7.1970835877852,OK
19,620,640,680,0.274625946390818,0.283212677703499,8.12459723464629,0.274483382467368,0.283625814157161,8.13134699327804,OK
20,650,671,713,0.274645220541616,0.283566234795018,9.12628356061064,0.274584241018677,0.283802505492449,9.13090724901004,OK
21,680,702,745,0.274788491429652,0.284013259468538,10.1919863548386,0.274685165695908,0.283979312671927,10.1969341632389,OK
22,710,733,777,0.274838538242037,0.284158628555898,11.3256973084739,0.274786156564112,0.284156235809561,11.3305808394214,OK
23,739,765,809,0.274625368444944,0.284390498456421,12.5467248764701,0.274887213688427,0.284333275019463,12.5329853573644,OK
24,770,795,840,0.275019995487215,0.284200754245046,13.7957110198856,0.274988337134078,0.284510430415896,13.8052722339743,OK
25,799,827,871,0.275011839309075,0.284583584143679,15.1595543197949,0.274893129222424,0.284582068855656,15.1427459231496,OK
26,827,858,902,0.274813669010996,0.284621894995797,16.5624774098995,0.274753804493255,0.28456796451044,16.5512685039008,OK
27,854,889,933,0.274452721312823,0.284701529374981,18.0352004363548,0.274614474566637,0.284553859639068,18.0318566980605,OK
28,883,919,964,0.274485133534337,0.284621272709954,19.5757984014971,0.27447513944228,0.28453975424151,19.585517186844,OK
29,912,949,996,0.274353208555674,0.284360573821885,21.2063448830199,0.274335799119891,0.284525648317736,21.2132474230728,OK
30,940,979,1027,0.274227343576834,0.284483507541384,22.9023186181959,0.274196453599181,0.284511541867717,22.9160363589262,OK
31,968,1009,1058,0.274106503979046,0.284668370483941,24.6783347365702,0.274205251164954,0.28450695220552,24.6664964115591,OK
32,997,1038,1089,0.274137905522713,0.2846390629883,26.5008440142863,0.274214048512743,0.284502362657044,26.4898654974689,OK
33,1114,1154,1214,0.274230220286623,0.284488558331281,34.5327603077551,0.274249235724216,0.284484005600276,34.5269494527667,OK
34,1232,1273,1341,0.274240329617313,0.284485572079951,43.8523089982273,0.274284419448585,0.284465650362718,43.787766335716,OK
35,1348,1390,1466,0.274300508078622,0.28420489619689,54.0719329078083,0.274300984668095,0.284134331690496,54.0428758037741,OK
36,1464,1508,1592,0.27431100112284,0.283884840864624,65.4735632286326,0.274317527257209,0.283803465645696,65.4929871264616,OK
37,1581,1627,1720,0.274270393714176,0.283495616042856,78.1784903451238,0.274334047262271,0.28347305130142,78.1614682107292,OK
38,1696,1747,1847,0.27417808900711,0.283533576262443,92.154881582805,0.274158349068543,0.283558327025253,92.1751503224675,OK
39,1810,1868,1975,0.273976842436718,0.283649011307813,107.477348038677,0.273982568322419,0.283643642816177,107.484604408461,OK
40,1924,1989,2104,0.273767893021252,0.283703334553119,124.101471866608,0.273806704965703,0.283728998702436,124.114136603382,OK
41,2039,2111,2234,0.273632171783762,0.283832285499631,142.17349354783,0.273630758940146,0.283814394712301,142.087278900604,OK
42,2157,2232,2362,0.273866351024012,0.284122040623522,161.523598845788,0.27381916823956,0.284074724112037,161.524315531812,OK
43,2275,2354,2491,0.27402228888237,0.284386573937782,182.369643149463,0.274007754317145,0.284335297770178,182.37466803709,OK
44,2393,2476,2620,0.274174296668598,0.284610894927502,204.636669909694,0.274196517421814,0.284596116030653,204.662444004932,OK
45,2511,2598,2748,0.274391016806474,0.284885431748044,228.355704652607,0.27438545780295,0.284857179238041,228.411296615823,OK
46,2628,2721,2877,0.274505725818878,0.285088637198289,253.738622865819,0.274500478355423,0.285036924065958,253.749011048688,OK
47,2744,2843,3005,0.274625165798171,0.285247754256534,280.576297000413,0.274615574452643,0.285216786949103,280.615401161536,OK
48,2859,2965,3133,0.274690459140872,0.285394061750723,309.167034304617,0.27473074616906,0.285396768003821,309.034732135933,OK
49,2974,3084,3258,0.274884976476889,0.285559749742603,339.070162602118,0.274845993579223,0.285576867346609,339.03098341513,OK
50,3085,3201,3389,0.274617381144314,0.285162262098307,370.499723259635,0.274609940437376,0.28521315144288,370.539002308441,OK
51,3196,3317,3522,0.274389758802232,0.284780761118337,403.586649544102,0.27437419976416,0.28484991699773,403.655754692232,OK
52,3306,3434,3659,0.274137149097314,0.284453249174847,438.449968009626,0.274138770939553,0.284487163055816,438.403455742465,OK
53,3414,3548,3749,0.27580299311246,0.287349598721048,472.241149469247,0.273903653345171,0.28412488866432,0,
54,3523,3664,3835,0.277642046659276,0.290515822935825,507.279620418196,0.274258043330294,0.284427932358961,0,
55,3632,3782,3902,0.280101807749414,0.294789410677535,542.795341135106,0.274612787507308,0.284731278927902,0,
56,3740,3905,3936,0.283551529130709,0.301061511241273,578.725032895933,0.27496788640747,0.285034928825431,576.754813901009,OK

NEUTRAL
LEVEL,R,G,B,x(calc),y(calc),Y(calc),x(target),y(target),Y(target),STATUS
0,0,0,0,0.270117722947912,0.256410256410256,0.159,0,0,0.159,
1,27,28,27,0.270943349298027,0.258903566959445,0.170250203511073,0,0,0.170459831412875,
2,57,60,57,0.272917251177987,0.26632332267464,0.211375528284841,0,0,0.211655557970051,
3,88,92,87,0.274995512941655,0.272908033360606,0.286352764079585,0,0,0.287482798984164,
4,122,127,120,0.274937611722387,0.274117070078566,0.399406364886571,0,0,0.400941411286593,
5,159,166,157,0.275857738789684,0.278317517421639,0.552685745697445,0,0,0.55428673289221,
6,197,206,195,0.274423233712381,0.270427856933805,0.746674221841844,0,0,0.749351919354096,
7,235,246,233,0.274510658938414,0.270471439216332,0.987171060215284,0,0,0.987693470140425,
8,272,284,269,0.276418363287362,0.275799809808614,1.26687016278161,0,0,1.27067080460228,
9,307,321,304,0.278414988546092,0.282669576315707,1.59525057810937,0,0,1.59949498112677,
10,341,356,337,0.280851519439543,0.289413906249222,1.96953540231528,0,0,1.97526087930174,
11,373,390,370,0.282439222816421,0.294794785743062,2.39806346854601,0,0,2.3989696606762,
12,403,421,399,0.284421328574843,0.299500712783973,2.85191059662537,0.284518164753363,0.299369139999546,2.87154511452557,OK
13,437,453,437,0.284760957561474,0.29904374195579,3.40985584746681,0.284582735611328,0.299234541275246,3.43888148913139,OK
14,469,486,474,0.284524498179583,0.299210589172686,4.04462761714682,0.284647269081716,0.2991000204858,4.06481522181164,OK
15,501,517,509,0.284775944131985,0.299011546752098,4.71819032561265,0.284711765196988,0.298965577563538,4.75083144495718,OK
16,534,549,545,0.284920684863488,0.298711737940496,5.48467379007467,0.284776223989569,0.298831212440869,5.49838349206507,OK
17,564,579,578,0.284869769842395,0.298677087823512,6.26278390761135,0.284840645491848,0.298696925050282,6.30889729077095,OK
18,596,610,612,0.285025947007734,0.298589608723659,7.13878386876548,0.284905029736173,0.298562715324342,7.18377497017121,OK
19,626,640,644,0.285021718329779,0.298693266925911,8.0428196177996,0.285012125705612,0.298749216218309,8.1163107655477,OK
20,657,671,676,0.28517874953181,0.299003265967445,9.04009026312325,0.285119293791426,0.298935842698407,9.11402266630877,OK
21,688,702,708,0.285237726230706,0.29903121795361,10.1052681150058,0.285226534066483,0.29912259489153,10.1780783175399,OK
22,719,733,739,0.285445367313138,0.299183269506817,11.2349430061465,0.285333846603748,0.299309472924742,11.3096286904159,OK
23,749,765,770,0.285345498777046,0.299402176560093,12.452161883478,0.285441231476285,0.299496476925281,12.5098097602426,OK
24,778,795,798,0.28564193860552,0.299820308780147,13.6631975483113,0.285548688757256,0.299683607020553,13.7797439645054,OK
25,808,827,829,0.285480409320988,0.299710843193662,15.0280553106767,0.2854528100531,0.2997600037419,15.1147444399573,OK
26,836,858,858,0.28531051550512,0.299934264144797,16.412769698286,0.285309862768694,0.299745803055991,16.5206624256389,OK
27,865,889,888,0.285142102732227,0.299852252590145,17.892432234324,0.285166910005301,0.299731601825788,17.9985127632934,OK
28,893,919,917,0.284974275719488,0.299858768290082,19.4035930671472,0.285023951762606,0.299717400051259,19.5493002726131,OK
29,922,949,947,0.284810866702029,0.299658455149008,21.0137053268445,0.284880988040294,0.299703197732374,21.1740205619615,OK
30,950,979,976,0.284650211413953,0.299855315557388,22.6883855263092,0.284738018838051,0.299688994869101,22.8736607547792,OK
31,980,1009,1006,0.284662142514718,0.299838358384591,24.4728901916345,0.284746923755586,0.299684086000687,24.6208839124663,OK
32,1011,1038,1036,0.284828477305419,0.299608106763565,26.3054172988193,0.28475582844642,0.299679177257243,26.4408812823695,OK
33,1128,1154,1153,0.284781740707707,0.29964851120938,34.2437183729052,0.284791444942906,0.299659543533077,34.4631033181429,OK
34,1247,1273,1272,0.284781685381551,0.299761773740106,43.4700397192487,0.284827057812851,0.299639911808055,43.7067953936358,OK
35,1366,1390,1391,0.284872804952381,0.299212726933635,53.6413382045804,0.284836673494493,0.299288847502375,53.9429414400752,OK
36,1482,1508,1509,0.284798842804497,0.299017801357499,64.9084087194869,0.284846275679665,0.29893827594692,65.3718795817968,OK
37,1602,1627,1630,0.284881273101282,0.298578115089786,77.5391554875244,0.284855864396761,0.29858819610499,78.0169345145623,OK
38,1717,1747,1749,0.284693587481553,0.298716970506569,91.3507276441985,0.284677890931712,0.298679455840249,92.0047029719275,OK
39,1833,1868,1870,0.284475027087496,0.298769716242023,106.558652392108,0.284499831553379,0.298770759629398,107.285847303307,OK
40,1949,1989,1991,0.284317883029022,0.298886812742778,123.046160166684,0.284321686199538,0.298862107504345,123.884628697242,OK
41,2066,2111,2114,0.284145133136958,0.298927638140692,140.989257783693,0.284143454807904,0.298953499497027,141.824535632496,OK
42,2184,2232,2234,0.2843095428167,0.299275649068979,160.119476811065,0.284342097671206,0.29922826440218,161.225629914984,OK
43,2305,2354,2356,0.28456000453705,0.29952823130892,180.848016851419,0.284540932030066,0.299503294186012,182.037426612869,OK
44,2425,2476,2478,0.284760424939513,0.299767938547081,202.954682694387,0.284739958161527,0.299778589231728,204.283988735657,OK
45,2543,2598,2599,0.284924906595118,0.300077804172999,226.422607321479,0.284939176343164,0.300054149923277,227.988925725128,OK
46,2662,2721,2722,0.285073125130047,0.300255591815839,251.638926262289,0.28506091786797,0.300243960747668,253.279786463926,OK
47,2779,2843,2844,0.285195570386279,0.300428793207722,278.248796530833,0.285182741550052,0.300433899665906,280.096496104356,OK
48,2895,2965,2966,0.285277732683625,0.300621583240239,306.585024368144,0.285304647472603,0.300623966807701,308.463274957581,OK
49,3009,3084,3085,0.285402810138212,0.300849323231681,336.107240001028,0.285426635718931,0.300814162302938,338.404058124833,OK
50,3122,3201,3210,0.285156827964226,0.300423309208914,367.305449855308,0.285176892827009,0.300430078072578,369.853813393704,OK
51,3234,3317,3334,0.284925023877554,0.300055637899622,400.074238156046,0.284927489607503,0.300046516230732,402.90932733435,OK
52,3346,3434,3460,0.284673826228928,0.299688407293339,434.675948523384,0.284678425367906,0.299663475712383,437.59277404314,OK
53,3452,3548,3579,0.284546743123383,0.299706904813821,469.29375449756,0.284429699417595,0.299280955455405,0,
54,3558,3664,3699,0.284489750937656,0.299881325144066,505.28175760505,0.284799219167269,0.29960009550099,0,
55,3663,3782,3820,0.284469658881494,0.300193837276877,542.311257169566,0.285169118372983,0.299919563268212,0,
56,3764,3905,3936,0.284558468625743,0.30114094631163,580.419718770859,0.285539397619525,0.300239359262132,575.688297279156,OK

WARM1
LEVEL,R,G,B,x(calc),y(calc),Y(calc),x(target),y(target),Y(target),STATUS
0,0,0,0,0.270117722947912,0.256410256410256,0.159,0,0,0.159,
1,28,28,25,0.271657225009909,0.259661453500284,0.170248756583052,0,0,0.170517191225818,
2,59,60,54,0.275607807141947,0.269019037204617,0.21152914296674,0,0,0.211919114461135,
3,91,92,83,0.279681558880404,0.277604944290838,0.286768003961888,0,0,0.288125893027233,
4,126,128,116,0.279969589042442,0.279813850459741,0.403049522901732,0,0,0.402152398917624,
5,165,167,151,0.282989849402493,0.285377884325569,0.558249181036716,0,0,0.556265258774561,
6,205,207,187,0.28391627373838,0.280008764547716,0.753799334385709,0,0,0.752306803631621,
7,243,246,223,0.28295430278827,0.278663596138211,0.990449573921172,0,0,0.991841323692734,
8,282,285,258,0.285089140110017,0.284255961667896,1.27988866997111,0,0,1.27623504260103,
9,317,321,291,0.287233981770377,0.290965197130085,1.60284687572824,0,0,1.60670508044556,
10,352,356,322,0.290488417881841,0.298563488403431,1.97964773364589,0,0,1.98435179700724,
11,385,390,353,0.292974549035044,0.304952625048765,2.41089976416634,0,0,2.41018136494186,
12,417,422,382,0.295610338678452,0.310253670697493,2.88494928509614,0.295601748879988,0.310488483341951,2.88512219736077,OK
13,450,455,419,0.295553739294454,0.310683563224147,3.45426344743198,0.295664243158022,0.31034811948805,3.45514102083862,OK
14,483,487,455,0.295544866017269,0.310414484007843,4.08191723477138,0.295726700582828,0.310207838407505,4.08403425922016,OK
15,517,518,490,0.29598528782999,0.309790256017016,4.76838474271808,0.295789121186995,0.310067640027121,4.77329406681813,OK
16,549,550,524,0.29582631450326,0.309968973619737,5.52919006284415,0.295851505003073,0.309927524273787,5.52438064870169,OK
17,582,581,557,0.296145276894625,0.309982449102101,6.34579620193261,0.295913852063575,0.30978749107448,6.33872667449969,OK
18,613,612,590,0.295737183258679,0.309832607099375,7.21870801351244,0.295976162400975,0.309647540356262,7.21774090277873,OK
19,645,643,622,0.29582487590227,0.309984952810894,8.16233389882258,0.296089028867388,0.30984128112951,8.15468586299006,OK
20,678,673,653,0.29636414634483,0.309933123152737,9.15500377449706,0.29620197273832,0.310035154771376,9.15711509068908,OK
21,709,705,683,0.296505732001631,0.310827326407748,10.2445130325381,0.296314994093426,0.310229161418592,10.2262017517571,OK
22,741,735,714,0.296615559378407,0.310260330119238,11.3644769071733,0.296428093012469,0.310423301208073,11.3631022593278,OK
23,771,766,743,0.296642166956362,0.310595255320687,12.5532950519149,0.296541269575322,0.310617574276927,12.5689579597635,OK
24,802,798,773,0.296608879432798,0.310679778750226,13.8545427637387,0.296654523861968,0.310811980762447,13.8448965975975,OK
25,831,829,801,0.296527894482826,0.311002595216924,15.1754451957418,0.296558954276946,0.310891874639671,15.1862091494115,OK
26,861,860,830,0.2964066586857,0.310908122372731,16.5876763430161,0.296413581911092,0.310877628780232,16.5987745197553,OK
27,891,891,859,0.296252300310546,0.310828085435622,18.081110705406,0.296268203870322,0.310863382364676,18.0836123486913,OK
28,920,921,887,0.296085328546429,0.310828133785192,19.6062730133552,0.296122820154305,0.310849135392971,19.6417322068456,OK
